id,Direcci�n_,Colonia_y/,Nivel_m�ni,Nivel_m�xi,Total_de_e,Total_de_0,Mecanismo_,Origen_de_,Sistema_af,Tipo_de_si,Valor_de_p,Fuente,Municipio,Registro_d,Registro_0,Con_regist,Promedio_d,Evaluaci�n,Acciones_d,Acciones_0,Nivel_de_p,Nivel_de_r,Fecha_de_i,layer,path,NOMBRE,x,y
SRI-270,Tepeyac y Tchaikovski,Tepeyac y Tchaikovski,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y equipamiento urbano,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,662375.024,2284457.669
SRI-271,Av. Prol. Mariano Otero y R�o Lerma,Av. prol. Mariano Otero y R�o Lerma,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,660719.092,2281844.639
SRI-272,Corresponsales y arroyo,Corresponsales y Arroyo,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda, comercio y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,663872.130,2280583.527
SRI-273,Las Torres y San Carlos,Las Torres y San Carlos,S/D,1.50 m,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Alta,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,662675.435,2280890.178
SRI-274,Francisco I. Madero y Rosales,Francisco I. Madero y Rosales,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda, comercio y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661185.935,2281534.330
SRI-275,Iturbide y Plutarco El�as Calles,Lomas del Vergel,S/D,40 cm,Al menos 1 vez,"10",Din�mica,Pluvial,Vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,670004.885,2295384.584
SRI-276,El Vergel y Libertad,Atemajac,S/D,80 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,671127.568,2291753.213
SRI-277,Hidalgo y Perif�rico sur,El Mante,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,664452.320,2279934.739
SRI-278,Lat�n y Acapulco,Acapulco,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,659921.443,2283272.972
SRI-280,Jard�n de los Claveles,La Campana,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,658879.633,2282784.574
SRI-281,Allende y Paseo de la Canad�,Pante�n de Santa Ana Tepetitl�n,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,660953.838,2280457.921
SRI-282,Privada Guam�chil,Privada Guam�chil,S/D,30 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Baja,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661436.199,2280448.669
SRI-283,Calle Arroyo y Estrella,Calle Estrella,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda, comercio y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,659242.029,2282514.198
SRI-284,San Mart�n,San Mart�n,S/D,40 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661394.351,2280169.396
SRI-285,Vallarta y San Gabriel,Vallarta,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,661557.994,2280366.466
SRI-286,Fco. I. Madero y Rosales,Fco. I. Madero,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,660949.839,2281702.023
SRI-287,Cardenal y Flamenco,Cardenal,S/D,40 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,666980.937,2296808.531
SRI-288,Od�n Mondrag�n Monroy y Ameca 2,Ameca 2,S/D,60 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,673187.659,2294014.809
SRI-289,Tala Y Ameca 2,Tala,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,V�a p�blica y vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,673263.782,2294026.221
SRI-290,Juan Garc�a Villagr�n y Arroyo,Puente Juan Garc�a Villagr�n,S/D,50 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y comercio",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,673257.353,2294134.767
SRI-291,Canta Luna,Puente vehicular,S/D,70 cm,Al menos 1 vez,"10",Din�mica,Pluvial,"V�a p�blica, vivienda y equipamiento urbano",Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,663774.254,2280729.570
SRI-292,Popocat�petl & Mixcoatl,Popocat�petl,S/D,40 cm,Al menos 1 vez,"10",Din�mica y est�tica,Pluvial,V�a p�blica y vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,666491.338,2284998.105
SRI-293,Av. Adolfo L�pez Mateos Sur & Calle Axayacatl,Frente a Plaza del Sol,S/D,30 cm,Al menos 1 vez,"10",Est�tica,Pluvial,V�a p�blica,Recurrente,Baja,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,666239.492,2284127.342
SRI-295,Tesist�n y Calle La Primavera,Venta del Astillero,S/D,40 cm,Al menos 1 vez,"10",Din�mica y est�tica,Pluvial y fluvial,V�a p�blica y vivienda,Recurrente,Media,Grupo de Trabajo de Inundaciones,,,,,,,,,,,,vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021,/Users/lepe/Library/CloudStorage/OneDrive-Personal/qgis/004_cslab/00_basedatos/riesgos/Priorización al 2021/vwAMG_Nivel_de_priorizacion_de_los_sitios_recurrentes_2021.shp,ZAPOPAN,651470.464,2292393.109
